Reduxo ID,Fulcrum ID,Date,Latitude,Longitude,Site,Space,Level,Location Description,Asset Category,Asset Sub Category,Asset Type,GPS With Arrow,Parent QR Code,QR Code,Quantity,Asset Description,Asset ID Label,Make,Model,Serial,Capacity,Last Service Date,Manufacture Date,Condition,Comments,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Defect Description,dafasdfasdf,Defect Photo 1,GPS Altitude,GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS Speed,GPS Course
RSP00001,701826fa-75ef-4319-b110-9ee3e260b864,2021-12-21,-35.03074065,117.8953053,Albany,Admin Building,Ground,Bike Shed,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,102054,1,,#3,,ABE,,4.5kg,Jul-2021,,3 - Good,,,,,,,,,,,,,,,
RSP00002,72cfe468-8dcf-410d-8869-e0a7c6c9d85b,2021-12-21,-35.03074449,117.8953181,Albany,Admin Building,Ground,Bike Shed,Furniture & Fittings,Furniture,Shelf Racking,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00003,6bb106d6-5a44-4b03-9cfe-2fc38c3a0bb9,2021-12-20,-35.03078952,117.895312,Albany,Admin Building,Ground,Bike Shed,IT & Communications,IT,Other,No,,105865,1,Underwater Drone,,Subsea Tech,Mini-ROV,,,,,3 - Good,,RSP00003_Q105865_20211220_01.jpg,RSP00003_Q105865_20211220_02.jpg,RSP00003_Q105865_20211220_03.jpg,,,,,,,,,,,
RSP00004,f75dceb1-e86d-44a3-a03a-34bc9def0145,2021-12-21,-35.03074065,117.8953053,Albany,Admin Building,Ground,Bike Shed,Kitchen Equipment,Refrigeration,Freezer,No,,,1,,,Haier,,,,,,3 - Good,,RSP00004_20211221_01.jpg,,,,,,,,,,,,,
RSP00005,5a34d476-281c-41a2-8930-d4e513c3775c,2021-12-21,-35.03074065,117.8953053,Albany,Admin Building,Ground,Bike Shed,Kitchen Equipment,Refrigeration,Refrigerator - Bar (Small),No,,,1,,Enviro Fridge,NEC,FR-054R,,,,,3 - Good,,RSP00005_20211221_01.jpg,,,,,,,,,,,,,
RSP00006,2601231e-9d96-4f3f-acc4-1135e1aa7fc3,2021-12-21,-35.03074449,117.8953181,Albany,Admin Building,Ground,Bike Shed,Electrical,Lighting,Fluorescent Light - Double,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00007,6651ca09-9de1-429b-9eb6-fde157169f37,2021-12-20,-35.0307385,117.8953772,Albany,Admin Building,Ground,Bike Shed,Port Specific,Ship Loader,Grabber,No,,105866,1,Marine Sediment Sampling,,KC,Van Veen Grab 12.110,,,,,3 - Good,,RSP00007_Q105866_20211220_01.jpg,,,,,,,,,-16,1158.281,,,
RSP00008,0475c72a-12c0-40bc-af41-45dcea9fbf58,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Electrical,Power Distribution,Automatic Transfer Switch (ATS),No,,106000,1,,,,,,,,,3 - Good,,RSP00008_Q106000_20211221_01.jpg,,,,,,,,,,,,,
RSP00009,01bb86e4-2773-4fba-9350-b25ff9326724,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Electrical,Power Distribution,Battery Charger,No,,105999,1,Solar Inverter,,Sunny Tripower,STP 15000TL-30,1901262451,"15,000W",,02-Mar-2020,3 - Good,,RSP00009_Q105999_20211221_01.jpg,RSP00009_Q105999_20211221_02.jpg,,,,,,,,,,,,
RSP00010,6cb8e2b2-1e61-4c6e-b882-717c8e1ace89,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Electrical,Power Generation,Diesel Generator,No,,105997,1,,,Pramac,GSW110P3P1,125571,110kVA,,,3 - Good,,RSP00010_Q105997_20211221_01.jpg,,,,,,,,,,,,,
RSP00011,a2237788-05f4-4055-bca9-dcd385bd8d2c,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,105998,1,,#15,,ABE,,2kg,Jul-2021,,3 - Good,,,,,,,,,,,,,,,
RSP00012,79bac6e0-75a5-4d0d-ad2f-d29c421c99f4,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Fire Equipment,Fire Detection,Smoke Detector,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00013,bf7c9196-7d47-4a85-a402-51ae55a838d5,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Electrical,Lighting,Fluorescent Light - Double,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00014,37680197-ae4e-4e09-a0a4-be3f6ee9dacd,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Electrical,Lighting,Fluorescent Light - Single,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00015,2c9927d7-19a8-42f0-b8de-c0ce6ae43aae,2021-12-21,-35.03078348,117.8954428,Albany,Admin Building,Ground,Hallway,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,102050,1,,#11,,ABE,,4.5kg,Jul-2021,,3 - Good,,,,,,,,,,,,,,,
RSP00016,13e08e7b-d03b-4fb3-a716-1f0d33ba0669,2021-12-21,-35.0307748,117.8954221,Albany,Admin Building,Ground,Hallway,Electrical,Lighting,Fluorescent Light - Single,No,,,3,,,,,,,,,3 - Good,,,,,,,,,,,0.400000006,13.833,,,93.55881
RSP00017,9110fc00-f575-42d1-8a2a-8c4a50954d54,2021-12-21,-35.0307748,117.8954221,Albany,Admin Building,Ground,Hallway,Furniture & Fittings,Office Furniture,Visitor's Chair,No,,,6,Padded,,,,,,,,3 - Good,,,,,,,,,,,0.400000006,13.833,,,93.55881
RSP00018,aada737a-1764-4e5b-bf95-ee2799e37f49,2021-12-21,-35.03076508,117.8953825,Albany,Admin Building,Ground,Lift Motor Room,Electrical,Power Distribution,Distribution Board (DB),No,,106002,1,,,,,,15A,,,3 - Good,,RSP00018_Q106002_20211221_01.jpg,,,,,,,,,,,,,
RSP00019,52d18ac5-3e2e-46a0-8f55-00550608bcaf,2021-12-21,-35.03076508,117.8953825,Albany,Admin Building,Ground,Lift Motor Room,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,106001,1,,#19,,ABE,,4.5kg,Jul-2021,,3 - Good,,,,,,,,,,,,,,,
RSP00020,689516c3-8cfe-4799-808b-853f6e85531c,2021-12-21,-35.03076508,117.8953825,Albany,Admin Building,Ground,Lift Motor Room,Electrical,Lighting,Fluorescent Light - Double,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00021,c1b4b01e-c03d-4a2d-a1c8-7048c4fa765e,2021-12-21,-35.03076673,117.8952963,Albany,Admin Building,Ground,Main Switchboard Cupboard,Electrical,Power Distribution,Main Switchboard (MSB),No,,105996,1,10 RCD,BUILDING MAIN SWITCHBOARD,Caramia Electrical,,,400A,,,3 - Good,,RSP00021_Q105996_20211221_01.jpg,,,,,,,,,,,,,
RSP00022,567136cf-c0b9-4a7e-8915-5ad364ff6df1,2021-12-21,-35.03087407,117.895482,Albany,Admin Building,Ground,Parking Garage,Security & Access,Access Control,Motorised Roller Door,No,,102041,1,,,,,,,,,3 - Good,,RSP00022_Q102041_20211221_01.jpg,,,,,,,,,,,,,
RSP00023,d536c6bf-c0b1-40b1-839b-b5b507cc9b3f,2021-12-21,-35.03087407,117.895482,Albany,Admin Building,Ground,Parking Garage,Furniture & Fittings,Occasional & Function Furniture,Barbeque,No,,,1,,,,,,,,,3 - Good,,RSP00023_20211221_01.jpg,,,,,,,,,,,,,
RSP00024,05ac47e6-5f76-4af7-b740-e0968e02fbf0,2021-12-21,-35.03087407,117.895482,Albany,Admin Building,Ground,Parking Garage,Furniture & Fittings,Office Furniture,Visitor's Chair,No,,,16,Plastic,,,,,,,,3 - Good,,RSP00024_20211221_01.jpg,,,,,,,,,,,,,
RSP00025,eecea9a3-0427-4f32-808b-ed44df1702c6,2021-12-21,-35.03087407,117.895482,Albany,Admin Building,Ground,Parking Garage,Plant & Equipment,Vehicles,Car,No,,102040,1,BY 795W,PoA-PTSV-VH10-VLT001,Nissan,Leaf,SJNFAAZE1A0065465,,,Aug-2019,3 - Good,,RSP00025_Q102040_20211221_01.jpg,RSP00025_Q102040_20211221_02.jpg,,,,,,,,,,,,
RSP00026,bf27d58a-9697-4fdb-b5b4-7dbf554ec358,2021-12-21,-35.0308867,117.8955075,Albany,Admin Building,Ground,Parking Garage External,HVAC,Air Conditioning,Outdoor Condenser Unit (Split),No,,102055,1,,,Fujitsu,AOTR12LCC,Not Sighted,3.5kW,,,4  - Fair,,RSP00026_Q102055_20211221_01.jpg,,,,,,,,,,,,,
RSP00027,43c0fc3e-c5ab-4976-b694-26d6ef403707,2021-12-21,-35.03086199,117.8955199,Albany,Admin Building,Ground,Parking Garage External,HVAC,Air Conditioning,Outdoor Condenser Unit (Split),No,,102056,1,,,Fujitsu,AOTR12LCC,E030029,3.5kW,,,4  - Fair,,RSP00027_Q102056_20211221_01.jpg,,,,,,,,,,,,,
RSP00028,15951f35-c97e-4519-b48e-c28e99e44f30,2021-12-21,-35.03086199,117.8955199,Albany,Admin Building,Ground,Parking Garage External,HVAC,Air Conditioning,Outdoor Condenser Unit (Split),No,,102057,1,,,Fujitsu,AOT12RSE,4000557,3.45kW,,,4  - Fair,,RSP00028_Q102057_20211221_01.jpg,,,,,,,,,,,,,
RSP00029,2ca3ab35-8cdf-42d2-9ebd-2114993a0642,2021-12-21,-35.03085184,117.8955203,Albany,Admin Building,Ground,Parking Garage External,Electrical,Lighting,Fluorescent Light - Single,No,,,1,,,,,,,,,4  - Fair,,,,,,,,,,,,,,,
RSP00030,184ed3c2-0df4-4ccf-ad43-ec2921c1ec7e,2021-12-21,-35.03089027,117.8951836,Albany,Admin Building,Ground,Parking Lot,Electrical,Lighting,Flood Light - LED,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00031,6f86138e-5f84-4a91-b1d3-b62742704812,2021-12-21,-35.03099377,117.8954046,Albany,Admin Building,Ground,Parking Lot,Electrical,Lighting,Fluorescent Light - Single,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00032,90028286-d055-404d-8e11-c4c019b46a86,2021-12-21,-35.03081175,117.8954126,Albany,Admin Building,Ground,Parking Lot,Electrical,Lighting,Fluorescent Light - Single,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00033,ddbe4fd3-4da4-4578-b886-0936a8a3600e,2021-12-21,-35.03078485,117.8953355,Albany,Admin Building,Ground,Parking Lot,Security & Access,Security,CCTV Camera - Dome,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00034,fb68b026-c656-441b-a04b-aed236a9e0b1,2021-12-21,-35.03081862,117.8952926,Albany,Admin Building,Ground,Parking Lot,Plant & Equipment,Vehicles,Car,No,,102036,1,A 73886,PoA-PTSV-VH05-VLT010,Subaru,Outback,JF2BS9KC2GG034715,,,Feb-2016,3 - Good,,RSP00034_Q102036_20211221_01.jpg,RSP00034_Q102036_20211221_02.jpg,,,,,,,,,,,,
RSP00035,55a64321-cb61-453a-8a68-7aece751f201,2021-12-21,-35.03098306,117.8951162,Albany,Admin Building,Ground,Parking Lot,Plant & Equipment,Vehicles,Car,No,,102039,1,A 70770,PoA-PT,Mitsubishi,Challenger,MMAGYKH40EF002298,,,Aug-2014,3 - Good,,RSP00035_Q102039_20211221_01.jpg,,,,,,,,,,,,,
RSP00036,2c87ae7e-d163-4b14-a164-5b09022f2126,2021-12-21,-35.03081642,117.8953164,Albany,Admin Building,Ground,Parking Lot,Plant & Equipment,Vehicles,Car - Ute,No,,102037,1,1GAP 212,PoA-PTSV-VH05-VLT002,Ford,Ranger,MNAUMFF50GW532488,,,Feb-2016,3 - Good,,RSP00036_Q102037_20211221_01.jpg,RSP00036_Q102037_20211221_02.jpg,,,,,,,,,,,,
RSP00037,89a988a8-a3d9-4fe5-9888-efb211617c63,2021-12-21,-35.03082301,117.8953476,Albany,Admin Building,Ground,Parking Lot,Plant & Equipment,Vehicles,Car - Ute,No,,102038,1,A 70611,PoA-PTSV-VH05-VLT009,Mitsubishi,Triton,MMAJRKB40FD006528,,,May-2014,3 - Good,,RSP00037_Q102038_20211221_01.jpg,RSP00037_Q102038_20211221_02.jpg,,,,,,,,,,,,
RSP00038,762930ec-9724-4b4b-841b-d8131294568b,2021-12-21,-35.0307748,117.8954221,Albany,Admin Building,Ground,Shower,Furniture & Fittings,Occasional & Function Furniture,Lockers,No,,,3,,,,,,,,,3 - Good,,RSP00038_20211221_01.jpg,,,,,,,,,0.400000006,13.833,,,93.55881
RSP00039,b0bae027-03a3-4a98-87da-6f86ed258a38,2021-12-21,-35.0307748,117.8954221,Albany,Admin Building,Ground,Shower,HVAC,Air Conditioning,Exhaust Fan,No,,No QR Code,1,,,,,,,,,3 - Good,,,,,,,,,,,0.400000006,13.833,,,93.55881
RSP00040,31ccae1a-d9b5-4612-8713-804afed8c0cc,2021-12-21,-35.0307748,117.8954221,Albany,Admin Building,Ground,Shower,Electrical,Lighting,Fluorescent Light - Single,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,0.400000006,13.833,,,93.55881
RSP00041,3e0e9fb2-1b40-4199-be8c-d918eb73341d,2021-12-21,-35.0308458,117.8955005,Albany,Admin Building,Ground,Storeroom,Furniture & Fittings,Furniture,Shelf Racking,No,,,6,,,,,,,,,3 - Good,,RSP00041_20211221_01.jpg,,,,,,,,,,,,,
RSP00042,bc2712fe-457f-451b-a137-16eb79a1f724,2021-12-21,-35.0308458,117.8955005,Albany,Admin Building,Ground,Storeroom,Electrical,Emergency Lighting,Exit Light,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00043,bf2f0e84-aa99-412e-b7ab-f27c802bd4f7,2021-12-21,-35.0308458,117.8955005,Albany,Admin Building,Ground,Storeroom,Electrical,Lighting,Fluorescent Light - Double,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00044,1282a036-7621-40fa-9427-b142b9ccf24e,2021-12-21,-35.03082054,117.8955132,Albany,Admin Building,Ground,Storeroom,Hydraulics,Hot Water,Electric Hot Water Unit,No,,102051,1,,,Midea,RSJ-15/190RDN3-E,,"1,500W",,,3 - Good,,RSP00044_Q102051_20211221_01.jpg,RSP00044_Q102051_20211221_02.jpg,,,,,,,,,,,,
RSP00045,c0e71199-9f78-40e4-8e94-b148ddef68e6,2021-12-22,-35.0307994,117.8954019,Albany,Admin Building,Ground,,Building,Building,Building,No,,109129,1,,,,,,,,,3 - Good,,RSP00045_Q109129_20211222_01.jpg,RSP00045_Q109129_20211222_02.jpg,RSP00045_Q109129_20211222_03.jpg,RSP00045_Q109129_20211222_04.jpg,RSP00045_Q109129_20211222_05.jpg,,,,,,,,,
RSP00046,cd533155-c3d0-46f9-8aaa-e6609849c847,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,IT & Communications,Audio Visual,Projector Screen,No,,,1,,,,,,,,,3 - Good,,RSP00046_20211220_01.jpg,,,,,,,,,,,,,
RSP00047,083a0e67-a905-4cd1-85ee-fd0dcb47ee0f,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,IT & Communications,Audio Visual,Speaker,No,,,2,,,Athena,,,,,,3 - Good,,RSP00047_20211220_01.jpg,,,,,,,,,,,,,
RSP00048,b586138f-0eb8-48de-9cdf-6578e627bfe7,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,Furniture & Fittings,Occasional & Function Furniture,Side Table,No,,,1,,,,,,,,,3 - Good,,RSP00048_20211220_01.jpg,,,,,,,,,,,,,
RSP00049,8ce2c716-de45-4ef6-8a09-49d2b6973fca,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,HVAC,Air Conditioning,Indoor Fan Unit (Split) - Wall Mounted,No,,No QR Code,1,,,Fujitsu,Not Sighted,Not Sighted,Not Sighted,,,3 - Good,,RSP00049_20211220_01.jpg,,,,,,,,,,,,,
RSP00050,879b56f2-ebcf-49f6-90ca-61d7591fcada,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,Electrical,Lighting,Fluorescent Light - Double,No,,,3,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00051,152dbb9e-ab69-48a0-8d4e-898b4ec2e15f,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,Furniture & Fittings,Office Equipment,Desktop Phone,No,,,1,,,Polycom,HD Voice,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00052,1139c52f-df2b-4510-83bd-31f98bf03eb8,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,Furniture & Fittings,Office Furniture,Meeting Table,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00053,36a3452f-bee3-4549-8d48-20bb91d79a01,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,Furniture & Fittings,Office Furniture,Visitor's Chair,No,,,4,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00054,13a8ad93-109d-4452-8743-ff5f52dfc9be,2021-12-20,-35.03086446,117.8954777,Albany,Admin Building,Level 1,Breaksea Room,Furniture & Fittings,Office Equipment,Whiteboard,No,,,1,,,,,,,,,3 - Good,,RSP00054_20211220_01.jpg,,,,,,,,,,,,,
RSP00055,5683ba17-b0d5-4e1d-9b73-b7db5351a8d8,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,Electrical,Power Generation,UPS,No,102045,102048,1,,,PowerShield,Centurion RT2000,,,,,3 - Good,,RSP00055_Q102048_20211221_01.jpg,,,,,,,,,,,,,
RSP00056,2518a416-7120-4def-9823-97a31ecf3aa8,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,Electrical,Power Generation,UPS,No,102044,102047,1,,,Eaton,5PX 1500,,,,,3 - Good,,RSP00056_Q102047_20211221_01.jpg,,,,,,,,,,,,,
RSP00057,297b6b35-7ce3-4ead-b11b-446b0a4053a5,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,Electrical,Power Generation,UPS,No,,102042,1,,,Eaton,3S 700,,,,,3 - Good,,RSP00057_Q102042_20211221_01.jpg,,,,,,,,,,,,,
RSP00058,59f8ad2b-8156-423b-adde-bf1830414a6d,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,Electrical,Power Generation,UPS,No,102045,102049,1,,,PowerShield,Centurion RT2000,,,,,3 - Good,,RSP00058_Q102049_20211221_01.jpg,,,,,,,,,,,,,
RSP00059,f41281b1-f3e8-4b3e-8070-a6c6399f26dd,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,Electrical,Power Generation,UPS,No,102044,102046,1,,,Eaton,5PX 2000,,,,,3 - Good,,RSP00059_Q102046_20211221_01.jpg,,,,,,,,,,,,,
RSP00060,0c5bf834-5742-4b73-ba4c-d45b8b6aa474,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,Fire Equipment,Fire Detection,Smoke Detector,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00061,df54a5bd-57cc-40ba-9458-ff62f3d9eaed,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,Furniture & Fittings,Furniture,Shelving,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00062,40b61cb2-4890-4844-944d-4ebe91660bdb,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,HVAC,Air Conditioning,Indoor Fan Unit (Split) - Wall Mounted,No,,No QR Code,1,,,Fujitsu,Not Sighted,Not Sighted,Not Sighted,,,3 - Good,,RSP00062_20211221_01.jpg,,,,,,,,,,,,,
RSP00063,b77bb2af-7fb3-4911-8a3e-9cf9e4c66c91,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Communications Cabinet (Rack),No,,102044,1,A1-1,RACK#2,IBM,,Asset 6105,,,,3 - Good,,RSP00063_Q102044_20211221_01.jpg,,,,,,,,,,,,,
RSP00064,9224a65b-2cf4-44ea-8d07-72848c2b8e44,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Communications Cabinet (Rack),No,,102043,1,,,,,,,,,3 - Good,,RSP00064_Q102043_20211221_01.jpg,,,,,,,,,,,,,
RSP00065,3c9574cd-6443-4339-8d86-65fc9b43aba1,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Communications Cabinet (Rack),No,102044,102045,1,,APA-01,NVR Solutions,,,,,,3 - Good,,RSP00065_Q102045_20211221_01.jpg,,,,,,,,,,,,,
RSP00066,455c65e6-a1c8-47a5-8342-4116be54082e,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Monitor,No,102045,,1,,,Belkin,F1DC101H,,,,,3 - Good,,RSP00066_20211221_01.jpg,,,,,,,,,,,,,
RSP00067,b8b50707-18ba-4607-925d-f94787c607d5,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Other,No,102045,,1,,,Hirschmann,MACH104-20TX-FR,,,,,3 - Good,,RSP00067_20211221_01.jpg,,,,,,,,,,,,,
RSP00068,4aff8168-2dcc-4c79-b895-37c7d3d133da,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Other,No,102045,,1,Recorder,ADMIN RECORDER,Geutebruck,,,,,,3 - Good,,RSP00068_20211221_01.jpg,,,,,,,,,,,,,
RSP00069,2dd359d1-aecb-43dd-aca0-9452ac438a94,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Other,No,102043,,1,Radio Receiver,,XStream-PKG,,,,,,3 - Good,,RSP00069_20211221_01.jpg,,,,,,,,,,,,,
RSP00070,1f0587c7-02b0-448e-9e49-51601902a744,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Other,No,102043,,1,Radio Transceiver,,Tait,TB7100,,,,,3 - Good,,RSP00070_20211221_01.jpg,,,,,,,,,,,,,
RSP00071,f971fd47-6249-4053-8d6f-2eddf01bd499,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Security Device (Firewall),No,102044,,1,,,Fortinet,FortiGate 101E,,,,,3 - Good,,RSP00071_20211221_01.jpg,,,,,,,,,,,,,
RSP00072,82606017-0ace-42d5-8f8c-49e28fc5ee58,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,IT & Communications,IT,Storage Device,No,102044,,1,Storage Device,,ProLiant,DL380 Gen10,SGH143TGC8,,,,3 - Good,,RSP00072_20211221_01.jpg,,,,,,,,,,,,,
RSP00073,6565c7df-5d51-401f-a50e-70812457e0df,2021-12-21,-35.0308145,117.8954633,Albany,Admin Building,Level 1,Comms Room,Electrical,Lighting,Fluorescent Light - Double,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00074,94b5fb2a-0375-4c72-b7f8-4f4d104b265e,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Electrical,Power Generation,UPS,No,,105862,1,,UPS 263,PowerShield,Defender 1200,,,,,3 - Good,,RSP00074_Q105862_20211220_01.jpg,,,,,,,,,,,,,
RSP00075,00953862-c785-4d4f-b810-e9e532d4260f,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Fire Equipment,Fire Detection,Smoke Detector,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00076,2f10b336-9a1c-4f41-8865-976684e35b23,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Furniture & Fittings,Furniture,Shelving,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00077,3f5b26f2-3a52-420f-a7e5-084d15506235,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,IT & Communications,IT,Docking Station,No,,,2,,,Lenovo,ThinkPad,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00078,08499746-71ea-4e36-906c-65d470785383,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,IT & Communications,IT,Laptop Computer,No,,,1,,,Lenovo,ThinkPad,,,,,3 - Good,,RSP00078_20211220_01.jpg,,,,,,,,,,,,,
RSP00079,a8a009ab-714b-4718-95eb-33a62f761b27,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,IT & Communications,IT,Monitor,No,,,4,,,LG,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00080,056accd5-284b-4ce3-b0d7-13293570b310,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Electrical,Lighting,Fluorescent Light - Double,No,,,4,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00081,5cfc6759-0c44-437d-9e9d-4d55f847a314,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Furniture & Fittings,Office Furniture,Desk,No,,,3,Adjustable,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00082,855d3d60-abd3-4c4b-89cd-b753a968da73,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Furniture & Fittings,Office Equipment,Desktop Phone,No,,,2,Portable Radio,,Tait,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00083,f071d83c-4a93-4dc1-b4e7-eda480489bf1,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Furniture & Fittings,Office Equipment,Desktop Phone,No,,,2,,,Polycom,HD Voice,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00084,6c79fc69-f798-4249-9f27-ca25fba9568b,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Furniture & Fittings,Office Furniture,Office Chair,No,,,3,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00085,32bd5d1e-3e1c-4160-9c0f-9182d8667bbd,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Furniture & Fittings,Office Furniture,Pedestal Under Desk Drawers,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00086,d10ea7eb-4ab3-46f4-9aaa-75450a79a63e,2021-12-20,-35.03084085,117.8954257,Albany,Admin Building,Level 1,Engineers Office,Furniture & Fittings,Office Equipment,Whiteboard,No,,,1,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00087,0ba1d206-d0ce-405e-9368-5ab70f55fb2e,2021-12-20,-35.03080489,117.8953214,Albany,Admin Building,Level 1,Environmental Office,Electrical,Power Generation,UPS,No,,105868,1,,UPS 005,Eaton,3S 700,,,,,3 - Good,,RSP00087_Q105868_20211220_01.jpg,,,,,,,,,,,,,
RSP00088,06544979-f613-4827-ba6a-c865b692977b,2021-12-20,-35.03080489,117.8953214,Albany,Admin Building,Level 1,Environmental Office,Electrical,Power Generation,UPS,No,,105867,1,,UPS 086,AEG,Protect Alpha,,,,,3 - Good,,RSP00088_Q105867_20211220_01.jpg,,,,,,,,,,,,,
